Crop,Date,Farming Method,Region,Season,Expected Profit,Profit,Revenue
Rice,14-12-2024,Conventional,East,Kharif,50000,6636.55,15079.61
Wheat,20-07-2024,Mixed,West,Kharif,50000,10316.01,45289.31
Maize,17-06-2024,Mixed,East,Zaid,50000,14880.22,59593.48
Maize,19-03-2023,Organic,North,Kharif,50000,5353.19,14289.34
Sugarcane,26-07-2023,Conventional,East,Zaid,50000,11387.75,24931.58
Cotton,04-08-2024,Organic,West,Rabi,50000,47313.16,103724.32
Rice,31-01-2024,Conventional,South,Rabi,50000,69597.45,121445.81
Wheat,08-08-2024,Mixed,South,Kharif,50000,4077.38,10050.75
Maize,13-01-2024,Mixed,East,Kharif,50000,19972.42,68584.15
Wheat,17-03-2023,Organic,North,Zaid,50000,31293.19,132686.19
Wheat,17-04-2024,Conventional,South,Zaid,50000,41002.3,68476.53
Maize,06-01-2024,Mixed,West,Zaid,50000,48227.18,143294.85
Sugarcane,17-10-2023,Conventional,South,Kharif,50000,26271.1,57547.79
Wheat,31-05-2024,Organic,North,Zaid,50000,30320.86,71101.17
Maize,01-04-2023,Hydroponic,North,Kharif,50000,33123.8,72663.32
Wheat,05-08-2024,Conventional,North,Zaid,50000,9297.77,19977.12
Sugarcane,26-09-2023,Organic,East,Rabi,50000,39445.77,81823.93
Sugarcane,28-02-2023,Conventional,East,Rabi,50000,5496.64,25306.73
Rice,20-05-2023,Mixed,West,Kharif,50000,30022.64,56275.05
Sugarcane,14-07-2024,Hydroponic,South,Rabi,50000,484.47,1856.64
Maize,22-04-2023,Organic,North,Kharif,50000,113710.49,190944.55
Sugarcane,03-07-2024,Organic,West,Rabi,50000,106277.09,189325.2
Sugarcane,15-10-2023,Mixed,East,Rabi,50000,8686.15,24098.05
Sugarcane,31-07-2023,Conventional,South,Kharif,50000,27906.48,56322.7
Rice,20-10-2024,Mixed,South,Rabi,50000,25908.02,89336.15
Maize,28-06-2024,Organic,South,Kharif,50000,17109.42,54321.33
Sugarcane,03-11-2024,Organic,East,Rabi,50000,15459.9,59134.63
Sugarcane,02-12-2024,Hydroponic,East,Zaid,50000,93864.56,178795.05
Sugarcane,27-10-2024,Organic,North,Rabi,50000,6223.04,28348.33
Sugarcane,10-04-2023,Organic,East,Kharif,50000,29849.34,74965.65
Rice,25-06-2024,Hydroponic,North,Kharif,50000,65745.79,116351.64
Wheat,27-04-2024,Conventional,West,Zaid,50000,47429.86,84720.08
Rice,02-10-2023,Organic,South,Kharif,50000,85330.95,143308.97
Sugarcane,09-04-2023,Organic,West,Zaid,50000,61950.3,158959.43
Wheat,21-02-2024,Mixed,North,Zaid,50000,32223.84,58353.52
Wheat,24-07-2023,Organic,South,Rabi,50000,5486.61,11144.82
Maize,22-10-2023,Mixed,West,Kharif,50000,12549.6,57240.52
Sugarcane,24-03-2024,Conventional,South,Kharif,50000,7140.51,31998.14
Maize,15-04-2023,Organic,North,Rabi,50000,31101.06,83690.21
Maize,05-06-2023,Mixed,South,Rabi,50000,31385.35,61621.5
Maize,09-03-2024,Organic,South,Zaid,50000,83895.35,143251.65
Cotton,20-09-2024,Organic,South,Kharif,50000,7116.27,19322.09
Maize,11-08-2023,Hydroponic,South,Kharif,50000,29337.41,97704.66
Rice,17-09-2024,Conventional,South,Zaid,50000,59751.59,134911.53
Rice,06-07-2023,Conventional,East,Kharif,50000,53823.91,121700.52
Maize,05-07-2024,Mixed,North,Zaid,50000,42655.62,101004.02
Sugarcane,24-01-2024,Mixed,West,Rabi,50000,2314.33,6991.2
Cotton,24-04-2024,Hydroponic,North,Rabi,50000,54299.23,95255.51
Sugarcane,02-09-2023,Hydroponic,South,Zaid,50000,1697.85,3668.47
Rice,03-03-2024,Conventional,East,Rabi,50000,11901.81,37793.63
Rice,12-10-2024,Mixed,South,Rabi,50000,38155.18,143913.35
Sugarcane,23-04-2023,Hydroponic,North,Kharif,50000,18473.31,54805.68
Maize,05-01-2023,Organic,West,Zaid,50000,49058.03,98825.82
Wheat,27-06-2024,Organic,East,Kharif,50000,8296.16,24772.81
Rice,27-03-2024,Organic,North,Rabi,50000,10589.14,44823.23
Maize,19-07-2023,Conventional,East,Zaid,50000,50486.82,85420.87
Wheat,15-07-2023,Mixed,West,Zaid,50000,56514.02,192746.31
Wheat,13-07-2023,Hydroponic,East,Rabi,50000,75581.11,129538.58
Wheat,17-08-2023,Organic,West,Rabi,50000,52104.22,92022.63
Rice,01-12-2023,Hydroponic,West,Rabi,50000,9108.56,32709.2
Cotton,26-05-2023,Mixed,North,Zaid,50000,23868.06,42733.99
Rice,18-03-2023,Organic,South,Kharif,50000,49529.69,185373.21
Maize,31-03-2023,Conventional,East,Zaid,50000,30724.49,56550.75
Wheat,14-01-2024,Hydroponic,South,Rabi,50000,34245.2,106176.4
Wheat,11-08-2024,Organic,West,Rabi,50000,5450.87,12377.3
Rice,18-10-2024,Conventional,West,Zaid,50000,20446.22,99055.57
Sugarcane,24-12-2024,Conventional,North,Rabi,50000,1370.04,2712.93
Rice,02-09-2024,Hydroponic,East,Rabi,50000,42037.32,174881.85
Wheat,12-01-2024,Hydroponic,West,Zaid,50000,30676.84,132000.89
Rice,12-09-2024,Mixed,East,Rabi,50000,3304.89,15232.12
Cotton,28-05-2023,Mixed,North,Zaid,50000,1327.82,4561.56
Maize,02-10-2024,Conventional,East,Zaid,50000,27485.85,51294.44
Wheat,31-12-2024,Mixed,South,Zaid,50000,44717.35,169068.32
Wheat,19-02-2024,Organic,West,Zaid,50000,3389.29,8940.09
Cotton,07-01-2023,Conventional,North,Rabi,50000,7638.77,16661.88
Cotton,28-09-2023,Mixed,East,Kharif,50000,71547.31,168366.18
Cotton,14-06-2024,Hydroponic,West,Kharif,50000,18724.84,67629.95
Sugarcane,23-07-2024,Organic,South,Kharif,50000,13326.3,41202.78
Cotton,15-10-2023,Organic,South,Kharif,50000,2852.84,5770.72
Sugarcane,09-11-2024,Mixed,West,Zaid,50000,13554.96,27545.71
Rice,09-11-2023,Hydroponic,North,Rabi,50000,77134.44,172231.04
Cotton,24-02-2024,Hydroponic,East,Rabi,50000,3825.4,15490.56
Maize,31-10-2024,Hydroponic,East,Zaid,50000,46827.1,97826.5
Wheat,03-08-2023,Mixed,North,Rabi,50000,76525.37,209602.28
Cotton,06-06-2024,Conventional,East,Zaid,50000,44232.42,82085.49
Cotton,05-02-2023,Organic,North,Rabi,50000,1380.24,6128.69
Rice,23-09-2024,Organic,North,Rabi,50000,35674.73,62820.68
Maize,08-07-2023,Conventional,West,Kharif,50000,25542.57,51957.39
Cotton,06-08-2023,Mixed,West,Zaid,50000,1821.28,4171.35
Sugarcane,19-10-2024,Hydroponic,East,Kharif,50000,78812.46,206191.2
Cotton,22-07-2024,Mixed,South,Zaid,50000,13915.69,56871.75
Rice,03-05-2024,Organic,West,Rabi,50000,29691.85,138901.11
Sugarcane,21-04-2023,Organic,South,Rabi,50000,56616.29,107033.4
Wheat,17-01-2024,Conventional,West,Rabi,50000,10378.96,48735.43
Cotton,12-04-2023,Mixed,North,Zaid,50000,9760.44,44864.51
Cotton,13-05-2024,Mixed,North,Rabi,50000,1342.95,3783.16
Sugarcane,21-09-2024,Hydroponic,South,Zaid,50000,15912.89,52016.22
Rice,18-12-2023,Conventional,West,Kharif,50000,4547.15,8173.07
Maize,08-02-2024,Organic,East,Kharif,50000,126045.32,221388.91
Maize,02-12-2023,Conventional,East,Zaid,50000,19971.12,37870.77
Rice,10-12-2024,Hydroponic,West,Kharif,50000,47034.65,88727.14
Maize,29-09-2024,Hydroponic,West,Zaid,50000,24896.37,100275.31
Maize,30-04-2023,Mixed,North,Zaid,50000,80006.06,146578.61
Rice,27-08-2023,Hydroponic,North,Kharif,50000,94348.13,177280.14
Cotton,16-07-2023,Organic,East,Kharif,50000,24515.02,42582.27
Wheat,28-01-2023,Organic,North,Rabi,50000,40704.2,168048.58
Sugarcane,07-01-2023,Conventional,West,Kharif,50000,70316.04,157094.98
Rice,06-04-2024,Organic,South,Rabi,50000,16573.57,36998.69
Cotton,16-12-2024,Mixed,North,Rabi,50000,36951.14,111144.48
Cotton,02-12-2023,Hydroponic,North,Zaid,50000,10651.76,34084.88
Wheat,17-12-2023,Conventional,West,Zaid,50000,60446.86,137613.53
Wheat,22-08-2023,Organic,South,Rabi,50000,7767.54,20735.46
Rice,19-01-2024,Mixed,South,Kharif,50000,10096.19,34766.77
Wheat,11-10-2024,Mixed,North,Rabi,50000,72882.37,122142.62
Rice,02-04-2024,Mixed,East,Kharif,50000,68670.46,116741.05
Wheat,14-10-2023,Hydroponic,East,Zaid,50000,11106.82,35279.88
Cotton,30-01-2023,Hydroponic,East,Kharif,50000,10773.73,31610.19
Maize,01-05-2023,Conventional,West,Zaid,50000,10256.3,35229.27
Rice,12-02-2023,Mixed,North,Zaid,50000,27256.12,67628.24
Maize,10-11-2023,Conventional,North,Rabi,50000,69426.27,137549.62
Maize,24-07-2023,Organic,North,Zaid,50000,10329.71,21254.66
Maize,24-10-2024,Mixed,South,Kharif,50000,57744.91,112970.71
Cotton,05-05-2024,Conventional,West,Rabi,50000,95156.51,159507.95
Maize,10-04-2024,Hydroponic,East,Rabi,50000,5359.06,15847.69
Sugarcane,17-06-2023,Organic,West,Rabi,50000,59949.93,115699.29
Cotton,29-10-2024,Conventional,South,Kharif,50000,30971.91,53510.52
